,idstd,Ancienneté,size_Large,size_Medium,size_Small,colab,Innovation,Secteur_Service,Secteur_Production,IT,R&D,Country_BA,Country_NE,Country_PA
886,531841,-0.6894560706332792,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
887,531842,-0.4790391401960844,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
888,531843,-1.0401509546952703,1,0,0,0.0,1.0,0,1,0.0,0.0,1,0,0
889,531845,0.222350627927898,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
890,531846,-0.1283442561340932,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
891,531847,1.9056860714254558,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
892,531848,0.15221165111549978,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
893,531849,-0.2686222097588897,0,0,1,0.0,1.0,0,1,0.0,1.0,1,0,0
894,531851,0.7133234656146857,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
895,531852,0.15221165111549978,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
896,531853,0.7133234656146857,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
897,531854,0.9938793728642786,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
898,531855,-0.6894560706332792,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
899,531856,0.9938793728642786,0,0,1,0.0,1.0,0,1,0.0,1.0,1,0,0
900,531857,-0.1283442561340932,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
901,531858,0.7133234656146857,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
902,531859,0.43276755836509273,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
903,531860,0.783462442427084,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
904,531861,3.1681876540486242,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
905,531862,1.34457425692627,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
906,531863,2.53693686273704,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
907,531864,0.43276755836509273,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
908,531865,0.2924896047402963,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
909,531866,0.7133234656146857,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
910,531867,1.34457425692627,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
911,531868,1.0640183496766769,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
